algoritmo,tamanho_array,probabilidade,input,output,output_correto,tamanho_sub_array_ordenado,distancia

quick, 100, 0.1, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 6 10 5 10 1 1 2 3 3 7 3 5 6 6 5 12 10 13 15 10 2 5 6 11 10 11 12 11 12 13 14 15 16 11 17 19 19 19 18 21 3 17 19 20 23 24 22 26 26 26 28 45 19 44 34 43 44 15 4 6 26 5 29 29 31 31 31 31 32 32 32 33 44 49 33 32 36 37 47 38 40 39 40 42 42 39 44 46 44 45 45 47 49 47 48 49 49 48 49 47, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 13, 780385603
insertion, 100, 0.1, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 10 11 10 11 11 17 21 44 26 36 4 15 24 42 49 29 3 6 29 42 49 5 19 12 49 31 44 10 13 19 45 39 47 47 2 3 17 48 12 14 47 2 49 13 49 5 26 38 44 45 31 37 48 5 3 1 5 6 6 3 10 16 31 23 32 6 19 47 26 10 18 5 6 7 26 28 32 11 1 33 40 19 20 31 32 33 40 15 32 34 45 12 44 15 19 22 39 43 44 46, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 7, -1476400470
merge, 100, 0.1, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 1 1 2 3 5 2 5 5 5 6 3 10 6 6 3 13 5 6 10 12 12 13 14 15 16 17 15 4 18 7 10 15 19 19 10 19 20 23 26 6 10 29 17 11 29 11 11 21 24 31 26 32 22 26 31 31 32 32 26 33 36 28 33 37 34 38 39 39 40 42 40 44 42 43 31 45 44 45 44 47 12 47 32 44 47 11 19 19 44 45 46 48 47 49 49 49 49 48 49 3, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 10, 592087300
bubble, 100, 0.1, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 1 2 2 3 3 3 3 4 5 5 5 5 6 6 5 6 6 6 7 10 10 10 10 11 10 11 11 12 13 12 13 14 15 15 17 16 17 18 19 19 19 19 20 23 21 24 26 26 26 26 1 29 28 29 31 31 31 31 11 32 32 36 19 37 38 39 42 42 44 44 45 12 32 33 33 47 40 47 44 45 47 49 15 48 49 49 49 49 22 32 40 34 44 47 48 39 43 45 46 44, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 14, 2103481894
quick, 100, 0.15, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 1 45 2 3 6 5 4 6 10 3 16 1 18 31 39 48 46 49 3 3 2 5 5 26 5 6 5 6 6 7 14 10 15 40 47 10 31 42 15 44 43 10 11 10 12 26 11 12 12 17 23 26 31 13 11 17 32 44 11 21 22 29 32 13 19 19 19 24 32 29 15 31 45 32 28 33 20 36 39 38 40 19 33 37 45 42 47 44 47 47 34 44 48 49 49 49 26 49 19 44, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 7, 243994904
insertion, 100, 0.15, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 11 10 11 11 21 24 17 44 4 26 10 15 36 42 29 49 31 49 49 42 3 5 6 10 49 12 45 29 44 19 19 13 39 49 47 2 3 12 17 13 3 47 48 47 26 38 45 14 5 31 1 5 37 44 16 5 6 31 32 26 48 10 32 47 3 6 6 10 23 26 28 2 5 33 18 40 19 19 40 6 7 1 19 15 20 31 32 32 33 34 46 44 11 15 12 22 43 44 45 39, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 8, -526309886
merge, 100, 0.15, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 1 1 3 11 2 12 5 13 4 18 5 3 5 6 7 10 15 5 6 6 10 10 11 13 11 14 3 12 15 19 29 17 20 21 24 26 33 11 38 19 10 22 3 10 16 19 23 26 31 32 33 36 6 42 17 32 34 19 44 19 39 15 40 40 31 47 43 32 26 28 44 12 45 49 46 31 42 44 44 45 32 5 6 47 29 47 2 44 48 48 26 49 31 49 49 47 37 45 49 39, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 10, 1779874767
bubble, 100, 0.15, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 10 10 10 11 10 10 11 12 11 13 12 16 13 17 14 15 17 18 19 7 19 19 21 23 26 24 26 26 29 11 15 29 31 31 31 36 37 38 19 12 42 39 42 44 20 44 44 26 28 32 32 45 31 32 47 47 19 45 48 49 49 33 40 47 49 49 15 40 48 47 22 32 33 49 34 1 39 44 46 44 43 45, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 22, -1411008397
quick, 100, 0.25, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 13 26 11 3 22 4 13 3 6 5 10 5 10 16 19 26 19 24 33 18 17 37 31 12 11 23 26 28 29 32 21 19 6 20 19 44 31 3 11 12 32 39 38 44 45 15 6 5 5 14 32 10 12 47 26 39 11 19 6 15 33 43 40 31 15 40 2 29 31 34 7 3 1 10 17 36 44 44 48 32 49 5 6 42 47 42 49 2 10 44 47 47 48 49 1 45 49 45 46 49, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 7, -1077129087
insertion, 100, 0.25, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 11 11 10 11 21 26 44 36 17 24 10 4 29 15 49 42 49 49 3 6 5 42 29 10 31 45 49 12 19 13 19 44 47 47 49 2 3 17 39 48 26 12 47 31 45 38 13 14 37 44 5 3 31 48 5 5 6 26 10 16 23 1 3 32 19 32 6 2 6 10 47 26 33 6 28 40 5 18 33 20 19 7 40 31 32 46 15 44 45 32 11 34 19 1 22 43 12 15 39 44, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 6, 1970154783
merge, 100, 0.25, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 3 3 4 5 3 5 10 33 5 5 15 6 7 14 16 36 12 15 19 38 2 6 3 19 20 26 28 26 29 1 6 6 10 10 29 13 22 1 17 39 19 31 5 48 11 2 12 10 13 24 40 11 19 32 10 18 32 17 26 33 42 15 19 40 31 49 11 21 26 43 32 47 47 12 44 44 31 47 11 49 31 44 23 42 44 32 45 45 46 49 44 34 45 6 49 49 39 47 48 37, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 6, -1019789951
bubble, 100, 0.25, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 1 2 2 3 3 3 4 5 5 5 6 5 10 6 3 10 6 10 11 11 11 6 14 12 13 12 15 5 10 17 17 19 19 21 26 13 24 29 26 31 29 31 6 37 36 38 42 42 44 39 45 16 10 19 7 44 20 45 26 44 31 47 47 49 49 49 18 19 23 26 32 32 47 48 49 48 28 1 31 32 15 33 32 47 33 49 34 11 40 40 19 46 12 44 15 22 45 43 44 39, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 11, 862979036
quick, 100, 0.5, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 34 31 12 42 14 10 10 11 47 5 11 49 10 13 49 40 32 3 2 10 44 26 4 26 39 21 33 6 23 5 5 29 32 22 5 3 45 26 33 47 26 38 1 44 6 7 19 3 32 12 10 31 45 47 24 12 18 29 37 5 28 2 49 3 11 6 39 17 11 49 44 47 32 31 20 19 16 19 48 19 45 43 15 36 19 44 15 46 17 48 6 13 49 40 1 44 42 15 6 31, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 4, -1503738368
insertion, 100, 0.5, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 11 26 11 17 10 11 44 21 24 42 36 10 4 49 29 49 49 45 31 3 15 6 42 44 29 12 5 49 10 19 47 13 49 19 39 48 17 47 2 26 12 47 3 38 31 14 44 37 13 31 45 5 48 5 16 3 5 32 6 26 32 10 1 23 47 10 3 6 26 33 6 2 28 40 19 5 19 6 31 33 20 32 18 40 32 15 7 44 22 34 46 45 19 43 11 15 12 1 44 39, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 4, -2140618221
merge, 100, 0.5, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 17 5 36 10 12 49 10 18 31 47 11 49 26 26 10 44 3 3 23 1 13 33 15 5 43 49 32 3 26 19 15 6 11 42 44 6 44 45 11 49 28 32 19 47 46 26 17 10 4 44 10 5 32 40 24 40 37 33 2 21 6 42 29 19 31 19 16 49 48 31 1 45 5 11 2 20 44 5 29 34 39 6 13 48 38 6 19 14 45 47 3 12 32 12 47 7 22 39 31 15, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 4, -626999215
bubble, 100, 0.5, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 29 36 49 49 44 26 4 11 21 42 17 10 11 11 31 45 6 49 44 3 19 15 24 10 10 13 42 12 47 47 49 12 3 47 29 19 5 17 2 31 48 5 5 45 6 48 37 38 39 26 44 14 26 16 49 13 10 1 23 31 5 3 32 2 33 5 32 26 28 10 40 47 6 3 6 46 31 19 19 19 33 18 32 6 32 45 7 15 40 20 22 11 34 44 44 43 12 1 39 15, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 5, 1382643263
quick, 100, 0.6, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 28 13 32 43 45 21 44 22 12 16 44 11 42 33 44 17 26 37 39 1 49 31 49 31 49 26 47 31 24 19 44 15 32 5 34 12 31 32 10 45 29 49 5 36 2 4 48 23 6 29 3 3 15 26 47 45 19 11 11 40 32 20 17 46 10 6 10 14 48 10 49 5 40 15 18 3 13 33 5 47 26 5 19 11 3 38 44 47 19 42 39 1 19 12 7 2 10 6 6 6, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 5, 1197655829
insertion, 100, 0.6, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 11 11 26 10 21 11 44 17 42 36 10 49 24 29 4 49 49 31 15 45 49 42 3 12 6 29 19 5 44 10 13 19 47 47 39 49 17 2 48 47 12 26 3 38 45 14 31 37 44 48 13 5 31 3 5 16 5 26 32 6 1 10 47 6 32 10 26 28 6 23 33 19 3 2 40 5 33 40 19 18 31 46 7 6 20 45 32 32 15 44 19 43 34 12 22 11 44 15 1 39, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 5, 853701235
merge, 100, 0.6, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 45 44 49 40 22 19 12 34 47 33 32 26 15 45 47 47 21 28 10 20 49 6 49 32 31 16 26 31 38 19 31 26 14 6 44 29 6 12 19 39 7 43 31 10 19 11 4 44 46 45 3 44 39 29 42 11 32 3 12 49 48 49 6 3 17 5 13 24 15 40 26 42 2 48 44 6 37 18 36 5 17 10 10 11 11 5 19 1 1 2 33 10 47 15 5 3 13 5 32 23, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 4, -444558635
bubble, 100, 0.6, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 49 49 49 49 47 47 45 49 48 31 47 17 44 44 42 17 29 5 42 36 19 44 10 29 26 24 11 39 3 26 21 11 11 10 31 13 15 47 38 48 19 33 6 10 37 45 13 26 4 23 2 32 6 31 16 12 32 14 3 26 6 19 12 10 5 6 40 18 19 5 10 40 33 5 3 31 3 1 46 45 34 28 5 32 6 44 43 20 22 2 15 19 44 32 12 15 7 11 1 39, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 4, 1967763525
quick, 100, 0.75, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 49 47 48 45 44 38 33 40 16 19 49 32 44 44 45 34 23 32 24 31 29 17 13 19 36 22 5 44 42 49 49 39 19 33 31 32 17 43 20 15 26 15 12 40 12 10 10 31 47 31 10 26 21 10 6 15 14 11 5 26 11 6 4 19 11 12 5 3 5 45 49 5 6 48 32 10 47 37 46 6 11 39 47 28 18 19 3 1 3 42 26 44 1 7 6 2 13 3 2 29, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 4, 1585202279
insertion, 100, 0.75, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 11 26 11 11 44 42 36 24 21 17 10 10 49 4 49 29 15 49 31 42 45 29 6 3 49 47 44 19 49 39 12 5 47 13 2 48 19 12 48 10 17 47 45 38 14 26 3 44 31 37 16 13 31 5 5 3 5 47 32 26 10 6 32 23 6 1 10 40 6 28 26 3 2 40 33 6 19 19 18 5 33 31 20 7 46 44 32 34 15 45 19 11 43 44 32 12 1 22 39 15, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 3, -1438896948
